Data/Fecha/Date,0810104001 - L'HOSPITALET LLOBR.
2021-12-02,8.710045662100457
2021-12-03,8.641552511415526
2021-12-04,9.292237442922374
2021-12-05,9.280821917808218
2021-12-06,9.054794520547944
2021-12-07,8.139269406392694
2021-12-08,9.187214611872148
2021-12-09,8.591324200913242
2021-12-10,8.54337899543379
2021-12-11,9.815068493150685
2021-12-12,10.121004566210043
2021-12-13,8.979452054794521
2021-12-14,9.15296803652968
2021-12-15,9.038812785388128
2021-12-16,8.69634703196347
2021-12-17,8.883561643835616
2021-12-18,9.64840182648402
2021-12-19,10.219178082191782
2021-12-20,8.95890410958904
2021-12-21,8.82876712328767
2021-12-22,8.780821917808218
2021-12-23,8.831050228310502
2021-12-24,10.767123287671232
2021-12-25,10.157534246575343
2021-12-26,9.719178082191782
2021-12-27,9.070776255707765
2021-12-28,9.118721461187215
