Data/Fecha/Date,0801910058 - BARCELONA
2021-12-04,39.608247422680414
2021-12-05,30.551546391752577
2021-12-06,28.75
2021-12-07,29.378865979381445
2021-12-08,30.262886597938145
2021-12-09,29.0979381443299
2021-12-10,30.322164948453608
2021-12-11,32.79639175257732
2021-12-12,34.75515463917526
2021-12-13,30.394329896907216
2021-12-14,30.716494845360824
2021-12-15,29.13659793814433
2021-12-16,28.079896907216494
2021-12-17,28.855670103092784
2021-12-18,30.012886597938145
2021-12-19,32.01288659793814
2021-12-20,27.760309278350515
2021-12-21,25.36855670103093
2021-12-22,27.432989690721648
2021-12-23,26.63917525773196
2021-12-24,29.6340206185567
2021-12-25,33.0
2021-12-26,28.91752577319588
2021-12-27,24.734536082474225
2021-12-28,25.492268041237114
2021-12-29,24.95876288659794
2021-12-30,27.24484536082474
